id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max
prairie-willow,prairie willow,Salix humilis,vase,3-8,3-5,#e8d24a,,,,,part-sun,high,"sandy,loamy",,10,,,,#6b5a4a,6-8,light,SAHU2,Salix humilis Marshall,Shrub,CAN:N|L48:N,Multiple Stem,Semi-Erect,Coarse,Dense,Moderate,No,No,No,Yes,Spring,Spring and Summer,Summer,Summer,10.0,Medium,Low,High,Yes,Yes,No,5.9,7.0
broadleaf-arrowhead,broadleaf arrowhead,Sagittaria latifolia,mound,3-5,5,#e8d24a,,#5b7a4b,,,full-sun,high,"loamy,clay",,4.9,,,,,3-8,moderate,SALA2,Sagittaria latifolia Willd.,Forb/herb,CAN:N|HI:I|L48:N|PR:N,Bunch,Erect,Medium,Moderate,Porous,No,Yes,No,No,Late Spring,Spring,Spring,Summer,4.9,High,None,High,No,Yes,Yes,4.7,8.9
arroyo-willow,arroyo willow,Salix lasiolepis,vase,3-8,,,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,35,,,,,,,SALA6,Salix lasiolepis Benth.,Shrub,L48:N,Multiple Stem,Erect,Coarse,Dense,Dense,No,No,No,No,,Spring and Summer,,,35.0,High,None,High,Yes,Yes,Yes,5.5,7.5
small-burnet,small burnet,Sanguisorba minor,mound,3-5,3,#b3261e,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,1.3,,,,#6b5a4a,3-8,moderate,SAMI3,Sanguisorba minor Scop.,Forb/herb,CAN:I|L48:I,Multiple Stem,Erect,Medium,Moderate,Porous,No,Yes,No,No,Early Spring,Spring,Spring,Summer,1.3,Medium,Low,Medium,Yes,Yes,Yes,6.0,8.0
dwarf-palmetto,dwarf palmetto,Sabal minor,vase,3-8,5,#f1f1e2,,,,,shade,high,"loamy,clay",,9,,,,#3a3a34,9-12,light,SAMI8,Sabal minor (Jacq.) Pers.,Shrub,L48:N,Bunch,Erect,Coarse,Dense,Dense,Yes,No,No,No,Late Spring,Spring and Summer,Fall,Winter,9.0,Low,None,High,No,Yes,Yes,5.5,6.5
black-willow,black willow,Salix nigra,tree,3-8,3,,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,100,,,,,3-8,heavy,SANI,Salix nigra Marshall,Tree,CAN:N|L48:N,Multiple Stem,Erect,Medium,Moderate,Porous,No,No,No,No,Early Spring,Spring and Summer,Spring,Summer,100.0,High,Low,High,Yes,Yes,Yes,4.8,8.0
american-black-elderberry,American black elderberry,Sambucus nigra ssp. canadensis,vase,3-8,3-5,#f1f1e2,,#5b7a4b,,,full-sun,medium,loamy,,7,,,,#5b7ea3,3-8,heavy,SANIC4,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,Shrub,CAN:N|HI:I|L48:N|PB:I|PR:N|VI:I,Multiple Stem,Erect,Medium,Dense,Porous,No,Yes,Yes,Yes,Spring,Spring and Summer,Spring,Summer,7.0,High,Medium,Medium,No,Yes,No,5.0,8.9
blue-elderberry,blue elderberry,Sambucus nigra ssp. cerulea,vase,3-8,3-5,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy",,23,,,,#3a3a34,6-11,heavy,SANIC5,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,,No,Yes,Yes,No,Spring,Spring and Summer,Summer,Fall,23.0,Medium,High,Low,Yes,Yes,No,4.9,7.5
sugarcane,sugarcane,Saccharum officinarum,grass,3-8,2,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,12,,,,#6b5a4a,1-5,moderate,SAOF,Saccharum officinarum L.,Graminoid,L48:I|PB:I|PR:I|VI:I,Bunch,Semi-Erect,Medium,Dense,Dense,Yes,No,Yes,Yes,Late Winter,Spring and Summer,Winter,Spring,12.0,Medium,High,Medium,Yes,Yes,Yes,4.0,7.0
bouncingbet,bouncingbet,Saponaria officinalis,mound,3-8,5,#8f6fb3,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,2.2,,,,#6b5a4a,6-8,heavy,SAOF4,Saponaria officinalis L.,Forb/herb,CAN:I|L48:I,Rhizomatous,Erect,Medium,Dense,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,2.2,Medium,High,Medium,Yes,Yes,No,5.0,7.0
cabbage-palmetto,cabbage palmetto,Sabal palmetto,tree,3-8,6-8,#f1f1e2,,,,,shade,medium,"sandy,loamy,clay",,90,,,,#3a3a34,9-12,heavy,SAPA,Sabal palmetto (Walter) Lodd. ex Schult. & Schult. f.,Tree,L48:N,Single Stem,Climbing,Coarse,Dense,Dense,Yes,Yes,Yes,No,Summer,Spring and Summer,Fall,Winter,90.0,Low,Low,Medium,Yes,Yes,Yes,5.1,7.8
delta-arrowhead,delta arrowhead,Sagittaria platyphylla,mound,3-8,7,#f1f1e2,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,3,,,,#5b7a4b,6-11,,SAPL,Sagittaria platyphylla (Engelm.) J.G. Sm.,Forb/herb,L48:N,Single Crown,Erect,Coarse,Porous,Porous,No,No,No,No,Mid Summer,Spring and Summer,Summer,Fall,3.0,High,None,High,Yes,Yes,Yes,5.0,7.0
western-soapberry,western soapberry,Sapindus saponaria var. drummondii,vase,6-8,3-5,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,20,,,,#e8d24a,6-8,moderate,SASAD,Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson,Shrub,L48:N,Single Stem,Erect,Fine,Moderate,Porous,No,Yes,Yes,Yes,Spring,Summer,Summer,Summer,20.0,High,High,Low,Yes,Yes,Yes,7.0,8.5
american-cupscale,American cupscale,Sacciolepis striata,grass,6-8,6,#8f6fb3,,#5b7a4b,,,full-sun,low,"loamy,clay",,3,,,,#8f6fb3,6-11,,SAST,Sacciolepis striata (L.) Nash,Graminoid,L48:N|PR:N,Rhizomatous,Erect,Coarse,Porous,Porous,No,No,No,No,Early Summer,Summer,Summer,Fall,3.0,High,Medium,Low,No,Yes,Yes,5.0,7.3
yewleaf-willow,yewleaf willow,Salix taxifolia,tree,,5,#e8d24a,,,,,full-sun,medium,loamy,,40,,,,#6b5a4a,,,SATA,Salix taxifolia Kunth,Tree,L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,Yes,Late Spring,,,,40.0,High,Medium,,No,Yes,No,5.0,8.5
greasewood,greasewood,Sarcobatus vermiculatus,vase,6-8,3-5,#5b7a4b,,,,,full-sun,low,"loamy,clay",,10,,,,#b3261e,6-8,moderate,SAVE4,Sarcobatus vermiculatus (Hook.) Torr.,Shrub,CAN:N|L48:N,Multiple Stem,Irregular,Fine,Porous,Porous,No,No,Yes,No,Spring,Summer,Summer,Summer,10.0,High,High,Low,No,Yes,Yes,7.5,8.5
hardstem-bulrush,hardstem bulrush,Schoenoplectus acutus var. acutus,grass,6-8,5,#5b7a4b,,#5b7a4b,,,full-sun,high,"loamy,clay",,9.8,,,,#3a3a34,3-11,moderate,SCACA,Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve var. acutus,Graminoid,AK:N|CAN:N|L48:N|SPM:N,Rhizomatous,Erect,Coarse,Dense,Moderate,No,No,No,No,Late Spring,Summer,Spring,Fall,9.8,High,Medium,High,No,Yes,Yes,5.2,8.5
tall-fescue,tall fescue,Schedonorus arundinaceus,grass,1-12,3-5,#e8d24a,,#5b7a4b,,,part-sun,medium,"loamy,clay",,4,,,,#6b5a4a,6-8,heavy,SCAR7,"Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.",Graminoid,AK:I|CAN:I|HI:I|L48:I|SPM:I,Rhizomatous,Semi-Erect,Medium,Moderate,Porous,No,No,No,No,Spring,Year Round,Summer,Summer,4.0,Medium,Medium,Medium,No,Yes,Yes,5.5,9.0
green-bulrush,green bulrush,Scirpus atrovirens,grass,3-5,6-8,#6b5a4a,,,,,full-sun,medium,"loamy,clay",,5.9,,,,#6b5a4a,6-11,moderate,SCAT2,Scirpus atrovirens Willd.,Graminoid,CAN:N|L48:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,No,Summer,Spring,Summer,Fall,5.9,High,Low,Medium,No,Yes,Yes,4.0,8.0
california-bulrush,California bulrush,Schoenoplectus californicus,grass,6-8,5,#6b5a4a,,,,,full-sun,high,"loamy,clay",,6.6,,,,#6b5a4a,3-11,moderate,SCCA11,Schoenoplectus californicus (C.A. Mey.) Palla,Graminoid,HI:I|L48:N,Rhizomatous,Erect,Coarse,Dense,Porous,No,No,No,No,Late Spring,Summer,Spring,Fall,6.6,High,Low,High,No,Yes,Yes,5.0,9.0
woolgrass,woolgrass,Scirpus cyperinus,grass,3-5,8,#5b7a4b,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,4.9,,,,#e8d24a,6-11,moderate,SCCY,Scirpus cyperinus (L.) Kunth,Graminoid,CAN:N|L48:N|SPM:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,Yes,No,Late Summer,Spring,Summer,Fall,4.9,Medium,Low,High,Yes,Yes,Yes,4.8,7.2
georgia-bulrush,Georgia bulrush,Scirpus georgianus,grass,3-8,6,#e8d24a,,,,,part-sun,medium,"loamy,clay",,4.5,,,,#6b5a4a,6-8,light,SCGE2,Scirpus georgianus Harper,Graminoid,CAN:N|L48:N,Bunch,Semi-Erect,Fine,Moderate,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Summer,4.5,Medium,Low,Medium,No,Yes,Yes,4.5,7.0
slender-bulrush,slender bulrush,Schoenoplectus heterochaetus,grass,6-8,8,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,4.9,,,,#6b5a4a,6-11,moderate,SCHE5,Schoenoplectus heterochaetus (Chase) Soják,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Moderate,Porous,No,No,No,No,Late Summer,Summer,Summer,Fall,4.9,High,Low,High,Yes,Yes,Yes,4.0,7.5
cloaked-bulrush,cloaked bulrush,Scirpus pallidus,grass,3-8,5,#b3261e,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,5,,,,#f1f1e2,6-8,light,SCPA8,Scirpus pallidus (Britton) Fernald,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,5.0,High,Low,Medium,Yes,Yes,Yes,5.3,7.2
rufous-bulrush,rufous bulrush,Scirpus pendulus,grass,3-8,4,#b3261e,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,4,,,,#6b5a4a,3-8,light,SCPE4,Scirpus pendulus Muhl.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,No,No,No,Mid Spring,Spring and Summer,Spring,Summer,4.0,High,None,Medium,Yes,Yes,Yes,4.9,7.0
meadow-fescue,meadow fescue,Schedonorus pratensis,grass,6-11,5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,light,SCPR4,Schedonorus pratensis (Huds.) P. Beauv.,Graminoid,AK:I|CAN:I|GL:I|L48:I|SPM:I,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,No,Late Spring,Summer and Fall,Summer,Summer,3.0,Medium,Medium,Medium,Yes,Yes,Yes,5.8,8.5
little-bluestem-scsc,little bluestem,Schizachyrium scoparium,grass,6-11,6-8,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,3.5,,,,#6b5a4a,6-11,moderate,SCSC,Schizachyrium scoparium (Michx.) Nash,Graminoid,CAN:N|HI:I|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Summer,Summer and Fall,Summer,Fall,3.5,High,High,Low,Yes,Yes,Yes,5.6,8.4
little-bluestem-scscd,little bluestem,Schizachyrium scoparium var. divergens,grass,6-11,6,#e8d24a,,,,,full-sun,medium,"sandy,loamy,clay",,4,,,,#6b5a4a,6-11,light,SCSCD,Schizachyrium scoparium (Michx.) Nash var. divergens (Hack.) Gould,Graminoid,L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Early Summer,Summer and Fall,Summer,Fall,4.0,High,High,Medium,Yes,Yes,Yes,5.8,6.8
softstem-bulrush,softstem bulrush,Schoenoplectus tabernaemontani,grass,3-11,5,#b3261e,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,9,,,,#5b7a4b,6-8,light,SCTA2,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,Graminoid,AK:N|CAN:N|HI:N|L48:N|PR:N|SPM:N|VI:N,Rhizomatous,Erect,Coarse,Dense,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Summer,Summer,9.0,High,None,High,Yes,Yes,Yes,5.4,7.5
brazilian-peppertree,Brazilian peppertree,Schinus terebinthifolius,vase,1-12,6-8,#f1f1e2,,,,,full-sun,high,"sandy,loamy,clay",,30,,,,#b3261e,6-12,heavy,SCTE,Schinus terebinthifolius Raddi,Shrub,HI:I|L48:I|PB:I|PR:I|VI:I,Multiple Stem,Erect,Coarse,Moderate,Moderate,Yes,Yes,Yes,Yes,Summer,Year Round,Summer,Winter,30.0,High,Low,High,Yes,Yes,Yes,6.5,7.5
slender-little-bluestem,slender little bluestem,Schizachyrium tenerum,grass,6-11,5,#e8d24a,,,,,full-sun,medium,"sandy,loamy",,3,,,,#6b5a4a,6-11,light,SCTE5,Schizachyrium tenerum Nees,Graminoid,L48:N|PR:N,Bunch,Semi-Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Summer and Fall,Summer,Fall,3.0,High,Medium,Medium,Yes,Yes,No,5.8,6.8
cereal-rye,cereal rye,Secale cereale,grass,3-11,3,#e8d24a,,#5b7a4b,,,full-sun,high,"sandy,loamy",,3.5,,,,#6b5a4a,3-8,heavy,SECE,Secale cereale L.,Graminoid,AK:I|CAN:W|GL:W|L48:I,Bunch,Erect,Fine,Moderate,Moderate,No,No,No,No,Early Spring,"Spring, Summer, Fall",Spring,Summer,3.5,High,Medium,High,Yes,Yes,No,5.2,8.2
catclaw-acacia,catclaw acacia,Senegalia greggii,vase,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,20,,,,#6b5a4a,6-11,heavy,SEGR4,Senegalia greggii (A. Gray) Britton & Rose,Shrub,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Mid Spring,Spring and Summer,Summer,Fall,20.0,High,High,Low,Yes,Yes,Yes,6.5,8.5
foxtail-millet,foxtail millet,Setaria italica,grass,3-8,6-8,#f1f1e2,,#5b7a4b,,,full-sun,low,"loamy,clay",,5,,,,#6b5a4a,9-12,heavy,SEIT,Setaria italica (L.) P. Beauv.,Graminoid,CAN:W|L48:I|VI:I,Bunch,Erect,Fine,Porous,Porous,No,No,Yes,Yes,Summer,Spring and Summer,Fall,Winter,5.0,High,Low,Low,No,Yes,Yes,5.3,6.9
maryland-senna,Maryland senna,Senna marilandica,mound,3-8,6-8,#e8d24a,,#5b7a4b,,,part-sun,low,"sandy,loamy",,6.6,,,,#6b5a4a,6-11,moderate,SEMA11,Senna marilandica (L.) Link,Forb/herb,L48:N,Single Stem,Erect,Medium,Moderate,,No,Yes,No,No,Summer,Spring and Summer,Summer,Fall,6.6,Medium,Medium,Low,Yes,Yes,No,4.0,7.0
yellow-foxtail,yellow foxtail,Setaria pumila,grass,3-8,6-8,#f1f1e2,,#5b7a4b,,,full-sun,low,"loamy,clay",,3,,,,#6b5a4a,9-12,heavy,SEPU8,Setaria pumila (Poir.) Roem. & Schult.,Graminoid,CAN:I|HI:I|L48:I|PB:I|SPM:W,Bunch,Erect,Fine,Porous,Porous,No,No,No,Yes,Summer,Spring and Summer,Fall,Winter,3.0,High,Low,Low,No,Yes,Yes,5.0,7.0
saw-palmetto,saw palmetto,Serenoa repens,vase,3-8,5,#f1f1e2,,,,,shade,high,"sandy,loamy,clay",,7,,,,#3a3a34,6-11,light,SERE2,Serenoa repens (W. Bartram) Small,Shrub,L48:N,Bunch,Erect,Coarse,Dense,Dense,Yes,No,No,No,Late Spring,Spring and Summer,Summer,Fall,7.0,Low,High,High,Yes,Yes,Yes,4.5,7.5
crownvetch,crownvetch,Securigera varia,mound,3-8,5,#8f6fb3,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,3.3,,,,#b3261e,3-8,moderate,SEVA4,Securigera varia (L.) Lassen,Forb/herb,CAN:I|HI:I|L48:I,Rhizomatous,Decumbent,Medium,Moderate,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Spring,Summer,3.3,Medium,High,Medium,Yes,Yes,No,5.0,7.8
old-man-in-the-spring,old-man-in-the-Spring,Senecio vulgaris,mound,3-8,3,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,1.5,,,,#6b5a4a,3-8,heavy,SEVU,Senecio vulgaris L.,Forb/herb,AK:I|CAN:I|GL:I|HI:I|L48:I|SPM:I,Single Crown,Erect,Medium,Moderate,Porous,No,No,No,No,Early Spring,Spring and Summer,Spring,Summer,1.5,High,Medium,Medium,Yes,Yes,Yes,5.0,8.5
plains-bristlegrass,plains bristlegrass,Setaria vulpiseta,grass,3-8,6,#e8d24a,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#6b5a4a,6-11,moderate,SEVU2,Setaria vulpiseta (Lam.) Roem. & Schult.,Graminoid,L48:N|PR:I,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Fall,3.0,Medium,Medium,Medium,No,Yes,No,6.0,8.0
narrowleaf-blue-eyed-grass,narrowleaf blue-eyed grass,Sisyrinchium angustifolium,mound,3-8,4,#5b7ea3,,#5b7a4b,,,part-sun,medium,"loamy,clay",,2,,,,#3a3a34,3-8,light,SIAN3,Sisyrinchium angustifolium Mill.,Forb/herb,CAN:N|L48:N,Bunch,Erect,Fine,Moderate,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Spring,Summer,2.0,Medium,Low,Medium,No,Yes,Yes,5.0,7.0
buckthorn-bully,buckthorn bully,Sideroxylon lycioides,vase,3-11,6,#f1f1e2,,#5b7a4b,,,shade,low,sandy,,9.8,,,,#3a3a34,9-11,light,SILY,Sideroxylon lycioides L.,Shrub,L48:N,Single Crown,Rounded,Medium,Moderate,Porous,Yes,No,Yes,No,Early Summer,"Spring, Summer, Fall",Fall,Fall,9.8,Low,High,Low,Yes,No,No,4.0,7.0
salt-spring-checkerbloom,salt spring checkerbloom,Sidalcea neomexicana,mound,3-8,4,#8f6fb3,,#5b7a4b,,,shade,high,"loamy,clay",,2.5,,,,#6b5a4a,6-8,heavy,SINE3,Sidalcea neomexicana A. Gray,Forb/herb,L48:N,Single Crown,Erect,Coarse,Porous,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Summer,Summer,2.5,Low,Low,High,No,Yes,Yes,6.2,7.8
saw-greenbrier,saw greenbrier,Smilax bona-nox,vase,3-8,3-5,#5b7a4b,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,4,,,,#3a3a34,3-11,moderate,SMBO2,Smilax bona-nox L.,Shrub,L48:N,Thicket Forming,Climbing,Coarse,Moderate,Porous,Yes,No,Yes,No,Spring,Spring and Summer,Spring,Fall,4.0,Low,Medium,Medium,Yes,Yes,Yes,4.5,8.5
cat-greenbrier,cat greenbrier,Smilax glauca,vase,3-8,3-5,#5b7a4b,,,,,shade,medium,"sandy,loamy,clay",,1,,,,#3a3a34,3-11,light,SMGL,Smilax glauca Walter,Shrub,L48:N,Thicket Forming,Climbing,Coarse,Moderate,Porous,Yes,No,Yes,No,Spring,Spring and Summer,Spring,Fall,1.0,Low,Medium,Medium,Yes,Yes,Yes,4.5,7.5
laurel-greenbrier,laurel greenbrier,Smilax laurifolia,vase,3-8,8,#5b7a4b,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,1,,,,#3a3a34,9-11,heavy,SMLA,Smilax laurifolia L.,Shrub,L48:N,Thicket Forming,Climbing,Coarse,Moderate,Moderate,Yes,No,Yes,No,Late Summer,Spring and Summer,Fall,Fall,1.0,Low,Low,High,Yes,Yes,Yes,4.0,7.0
roundleaf-greenbrier,roundleaf greenbrier,Smilax rotundifolia,vase,6-8,3-5,#f1f1e2,,#5b7a4b,,,full-sun,medium,loamy,,1,,,,#6b5a4a,3-8,light,SMRO,Smilax rotundifolia L.,Shrub,CAN:N|L48:N,Single Crown,Climbing,Medium,Porous,Porous,No,No,No,No,Spring,Summer,Spring,Summer,1.0,High,Medium,Medium,No,Yes,No,5.0,7.5
lanceleaf-greenbrier,lanceleaf greenbrier,Smilax smallii,vase,3-8,3-5,#5b7a4b,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,1,,,,#3a3a34,6-11,moderate,SMSM,Smilax smallii Morong,Shrub,L48:N|PR:N,Thicket Forming,Climbing,Coarse,Moderate,Moderate,Yes,No,Yes,No,Spring,Spring and Summer,Summer,Fall,1.0,Low,Low,Medium,Yes,Yes,Yes,4.0,7.0
coral-greenbrier,coral greenbrier,Smilax walteri,vase,3-8,3-5,#5b7a4b,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,1,,,,#b3261e,6-11,heavy,SMWA,Smilax walteri Pursh,Shrub,L48:N,Thicket Forming,Climbing,Coarse,Moderate,Moderate,Yes,No,Yes,No,Spring,Spring and Summer,Summer,Fall,1.0,Low,Low,High,Yes,Yes,Yes,4.0,7.0
canada-goldenrod-soal6,Canada goldenrod,Solidago altissima,mound,3-11,5,#e8d24a,,,,,part-sun,medium,"sandy,loamy,clay",,5,,,,#6b5a4a,6-11,moderate,SOAL6,Solidago altissima L.,Forb/herb,CAN:N|HI:I|L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,Yes,Late Spring,"Spring, Summer, Fall",Summer,Fall,5.0,Medium,Low,Medium,Yes,Yes,Yes,5.2,7.3
sorghum,sorghum,Sorghum bicolor,grass,6-11,8,#6b5a4a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,4,,,,#6b5a4a,6-11,heavy,SOBI2,Sorghum bicolor (L.) Moench,Graminoid,CAN:I|CAN:W|HI:I|L48:I|PB:I|PR:I|VI:I,Bunch,Erect,Coarse,Dense,Moderate,No,No,Yes,No,Late Summer,Summer and Fall,Summer,Fall,4.0,High,High,Medium,Yes,Yes,Yes,5.5,7.5
grain-sorghum,grain sorghum,Sorghum bicolor ssp. bicolor,grass,6-11,8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,8,,,,#6b5a4a,6-11,heavy,SOBIB,Sorghum bicolor (L.) Moench ssp. bicolor,Graminoid,CAN:W|HI:I|L48:I|PR:I|VI:I,Bunch,Erect,Coarse,Dense,Moderate,No,No,Yes,No,Late Summer,Summer and Fall,Summer,Fall,8.0,High,High,Medium,Yes,Yes,Yes,5.5,7.5
wreath-goldenrod,wreath goldenrod,Solidago caesia,mound,3-8,5,#e8d24a,,,,,part-sun,medium,"loamy,clay",,3,,,,#6b5a4a,6-11,moderate,SOCA4,Solidago caesia L.,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Medium,Porous,Porous,No,Yes,No,Yes,Late Spring,Spring and Summer,Summer,Fall,3.0,Medium,Low,Medium,No,Yes,Yes,5.5,7.0
canada-goldenrod-soca6,Canada goldenrod,Solidago canadensis,mound,3-8,8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3.5,,,,#6b5a4a,6-11,heavy,SOCA6,Solidago canadensis L.,Forb/herb,AK:N|CAN:N|L48:N,Rhizomatous,Erect,Coarse,Dense,Porous,No,Yes,No,No,Late Summer,Spring and Summer,Summer,Fall,3.5,High,Medium,Medium,Yes,Yes,Yes,4.8,7.5
giant-goldenrod,giant goldenrod,Solidago gigantea,mound,6-8,,#e8d24a,,#5b7a4b,,,part-sun,medium,"loamy,clay",,8.2,,,,#6b5a4a,6-11,moderate,SOGI,Solidago gigantea Aiton,Forb/herb,CAN:N|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,Yes,No,Yes,Indeterminate,Summer,Summer,Fall,8.2,Medium,Medium,Medium,No,Yes,Yes,4.0,8.0
johnsongrass,Johnsongrass,Sorghum halepense,grass,6-11,8,#e8d24a,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,3.5,,,,#6b5a4a,6-11,heavy,SOHA,Sorghum halepense (L.) Pers.,Graminoid,CAN:I|HI:I|L48:I|PB:I|PR:I,Rhizomatous,Erect,Coarse,Dense,Moderate,No,No,Yes,No,Late Summer,Summer and Fall,Summer,Fall,3.5,High,Low,High,Yes,Yes,Yes,5.0,7.0
garden-tomato,garden tomato,Solanum lycopersicum var. lycopersicum,mound,1-12,,#e8d24a,,#5b7a4b,,,part-sun,high,"loamy,clay",,6,,,,#b3261e,1-12,light,SOLYL,Solanum lycopersicum L. var. lycopersicum,Forb/herb,AK:I|CAN:W|HI:I|L48:I|PB:I|PR:I|VI:I,Single Stem,Erect,Fine,Dense,Dense,No,Yes,No,Yes,Indeterminate,Year Round,Year Round,Year Round,6.0,Medium,Low,High,No,Yes,Yes,5.5,7.0
missouri-goldenrod,Missouri goldenrod,Solidago missouriensis,mound,3-11,8,#e8d24a,,#5b7a4b,,,part-sun,low,"sandy,loamy",,3,,,,#6b5a4a,6-11,moderate,SOMI2,Solidago missouriensis Nutt.,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Medium,Porous,Porous,No,Yes,No,Yes,Late Summer,"Spring, Summer, Fall",Summer,Fall,3.0,Medium,High,Low,Yes,Yes,No,5.5,7.5
gray-goldenrod,gray goldenrod,Solidago nemoralis,mound,3-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,2,,,,#6b5a4a,6-11,heavy,SONE,Solidago nemoralis Aiton,Forb/herb,CAN:N|L48:N,Rhizomatous,Decumbent,Medium,Moderate,Porous,No,Yes,No,No,Summer,Spring and Summer,Summer,Fall,2.0,High,Medium,Medium,Yes,Yes,No,6.5,7.5
indiangrass,Indiangrass,Sorghastrum nutans,grass,6-11,4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,6.5,,,,#6b5a4a,6-11,moderate,SONU2,Sorghastrum nutans (L.) Nash,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Mid Spring,Summer and Fall,Summer,Fall,6.5,High,Medium,Medium,Yes,Yes,Yes,5.0,8.0
roundleaf-goldenrod,roundleaf goldenrod,Solidago patula,mound,6-8,9-11,#e8d24a,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,6.6,,,,#f1f1e2,9-11,moderate,SOPA2,Solidago patula Muhl. ex Willd.,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,Yes,No,Yes,Fall,Summer,Fall,Fall,6.6,Medium,Low,High,Yes,Yes,Yes,4.5,7.0
